Date,Bottom50,Next40,Next9,RemainingTop1,TopPt1
1989Q3,777847000000,7408899000000,7635884000000,2838759000000,1762391000000
1989Q4,773147000000,7543056000000,7770202000000,2905496000000,1812715000000
1990Q1,802257000000,7632482000000,7768099000000,2897829000000,1805996000000
1990Q2,795586000000,7725807000000,7852815000000,2940394000000,1850643000000
1990Q3,816101000000,7768646000000,7767485000000,2864036000000,1802020000000
1990Q4,828625000000,7891337000000,7914597000000,2962840000000,1885733000000
1991Q1,848231000000,8036359000000,8073708000000,3087113000000,1961742000000
1991Q2,854376000000,8100194000000,8063140000000,3078825000000,1960532000000
1991Q3,900930000000,8225171000000,8117919000000,3133210000000,1981999000000
1991Q4,917489000000,8383133000000,8295429000000,3286812000000,2079265000000
1992Q1,943136000000,8473736000000,8264544000000,3266408000000,2076700000000
1992Q2,965482000000,8564622000000,8278150000000,3246316000000,2066474000000
1992Q3,1005228000000,8715103000000,8380360000000,3276884000000,2092326000000
1992Q4,1019564000000,8872087000000,8558019000000,3436858000000,2196886000000
1993Q1,1005072000000,8946324000000,8643255000000,3526247000000,2301128000000
1993Q2,1025019000000,9045899000000,8684389000000,3591827000000,2343767000000
1993Q3,1042849000000,9161760000000,8774874000000,3696137000000,2415404000000
1993Q4,1043274000000,9270825000000,8881156000000,3820338000000,2524353000000
1994Q1,1031511000000,9332130000000,8909929000000,3829807000000,2600408000000
1994Q2,1030327000000,9404847000000,8924371000000,3853306000000,2667777000000
1994Q3,1047866000000,9517265000000,8993041000000,3929737000000,2742462000000
1994Q4,1033666000000,9566593000000,9012786000000,3981894000000,2843868000000
1995Q1,1057985000000,9703708000000,9146816000000,4111272000000,2949429000000
1995Q2,1082516000000,9854396000000,9263478000000,4260698000000,3047136000000
1995Q3,1070941000000,9912735000000,9326557000000,4409290000000,3185977000000
1995Q4,1070829000000,10096341000000,9595114000000,4542728000000,3284948000000
1996Q1,1089749000000,10283000000000,9815889000000,4634401000000,3331873000000
1996Q2,1103179000000,10436244000000,9973003000000,4680712000000,3362525000000
1996Q3,1115216000000,10579704000000,10102049000000,4685565000000,3352720000000
1996Q4,1107742000000,10780649000000,10373701000000,4795223000000,3468153000000
1997Q1,1132240000000,10888896000000,10503361000000,4798296000000,3449935000000
1997Q2,1168881000000,11217606000000,10966800000000,5068813000000,3630906000000
1997Q3,1192793000000,11490601000000,11312910000000,5252016000000,3755780000000
1997Q4,1184415000000,11630535000000,11546339000000,5333100000000,3856692000000
1998Q1,1251477000000,12043063000000,12101654000000,5673369000000,4093205000000
1998Q2,1253664000000,12260698000000,12354529000000,5771323000000,4174449000000
1998Q3,1280908000000,12258256000000,12148002000000,5526097000000,3977967000000
1998Q4,1272207000000,12747841000000,12923009000000,6017396000000,4255330000000
1999Q1,1287627000000,12949483000000,13037689000000,6063593000000,4182156000000
1999Q2,1275360000000,13233591000000,13449024000000,6310848000000,4291817000000
1999Q3,1270626000000,13316097000000,13437825000000,6246238000000,4198612000000
1999Q4,1305964000000,13880093000000,14365237000000,6871877000000,4571916000000
2000Q1,1372902000000,14271030000000,14743027000000,7120456000000,4611251000000
2000Q2,1373383000000,14418037000000,14728491000000,7004240000000,4463145000000
2000Q3,1392341000000,14665471000000,14951614000000,7096212000000,4479175000000
2000Q4,1354767000000,14718763000000,14821745000000,6870024000000,4325868000000
2001Q1,1399021000000,14918684000000,14779740000000,6752872000000,4144099000000
2001Q2,1393152000000,15287211000000,15259647000000,7004624000000,4253766000000
2001Q3,1371437000000,15192893000000,14865965000000,6687781000000,4045976000000
2001Q4,1355965000000,15576898000000,15531175000000,7072698000000,4209741000000
2002Q1,1380938000000,15816510000000,15769738000000,7188478000000,4235848000000
2002Q2,1338252000000,15730228000000,15556581000000,7030887000000,4103893000000
2002Q3,1310733000000,15574749000000,15177955000000,6721261000000,3875612000000
2002Q4,1310522000000,15865017000000,15506554000000,6939003000000,3929466000000
2003Q1,1286272000000,15963787000000,15628493000000,6932167000000,3906997000000
2003Q2,1261092000000,16369854000000,16316466000000,7377608000000,4206273000000
2003Q3,1271607000000,16597567000000,16629233000000,7582783000000,4300015000000
2003Q4,1282562000000,17043133000000,17336203000000,8001771000000,4585989000000
2004Q1,1342478000000,17619579000000,18178606000000,8483221000000,5066971000000
2004Q2,1374203000000,17864518000000,18425938000000,8577338000000,5112969000000
2004Q3,1353627000000,18178063000000,18881288000000,8807382000000,5321337000000
2004Q4,1428998000000,18718080000000,19742239000000,9167818000000,5651384000000
2005Q1,1472644000000,18963369000000,20159925000000,9249221000000,5722342000000
2005Q2,1479013000000,19302078000000,20772452000000,9464285000000,5965662000000
2005Q3,1527554000000,19690120000000,21420722000000,9728073000000,6177016000000
2005Q4,1586127000000,20081571000000,22002537000000,9921515000000,6364892000000
2006Q1,1540424000000,20263207000000,22716450000000,10355215000000,6765415000000
2006Q2,1526195000000,20311817000000,22848824000000,10282781000000,6768760000000
2006Q3,1516238000000,20489827000000,23318472000000,10470096000000,6956408000000
2006Q4,1515785000000,20679881000000,23913677000000,10793994000000,7219411000000
2007Q1,1478037000000,20723563000000,24365148000000,11038878000000,7499773000000
2007Q2,1432020000000,20753016000000,24665149000000,11136263000000,7659555000000
2007Q3,1361997000000,20838976000000,25066849000000,11285097000000,7891167000000
2007Q4,1206852000000,20670974000000,24949263000000,11135876000000,7794380000000
2008Q1,1050643000000,20233788000000,24369372000000,10796234000000,7479333000000
2008Q2,998475000000,19967072000000,23993875000000,10568036000000,7254542000000
2008Q3,812644000000,19454322000000,23255666000000,10096962000000,6814483000000
2008Q4,678027000000,18911451000000,22318077000000,9478139000000,6181762000000
2009Q1,547117000000,18531589000000,21749749000000,9125485000000,5838017000000
2009Q2,514404000000,18610826000000,22029642000000,9386674000000,5807423000000
2009Q3,465049000000,18857120000000,22765986000000,9844042000000,6154475000000
2009Q4,424478000000,18899855000000,22926346000000,9924134000000,6120487000000
2010Q1,444592000000,19142969000000,23405129000000,10162393000000,6339504000000
2010Q2,402690000000,18990340000000,23211870000000,9906724000000,6258413000000
2010Q3,393328000000,19340585000000,24064596000000,10368167000000,6609363000000
2010Q4,372735000000,19631611000000,24667247000000,10773066000000,6925347000000
2011Q1,406873000000,19804147000000,25017130000000,11054639000000,7176896000000
2011Q2,412275000000,19927849000000,25123514000000,11094976000000,7269045000000
2011Q3,404768000000,19685946000000,24395065000000,10529460000000,6961714000000
2011Q4,402355000000,19962492000000,24883316000000,10811729000000,7220285000000
2012Q1,446017000000,20341817000000,25533994000000,11287397000000,7595062000000
2012Q2,476407000000,20441262000000,25483007000000,11182754000000,7632172000000
2012Q3,508666000000,20873556000000,26095832000000,11568253000000,7985654000000
2012Q4,575457000000,21162725000000,26366513000000,11689772000000,8114339000000
2013Q1,597947000000,21832537000000,27405589000000,12239276000000,8549875000000
2013Q2,653914000000,22223982000000,27750025000000,12311250000000,8628574000000
2013Q3,731063000000,22905505000000,28570762000000,12705239000000,8983024000000
2013Q4,770225000000,23375754000000,29353433000000,13197901000000,9267913000000
2014Q1,824933000000,23684803000000,29979042000000,13646924000000,9561202000000
2014Q2,887769000000,24061407000000,30687329000000,14139614000000,9909956000000
2014Q3,908010000000,24224607000000,30951626000000,14190896000000,9972991000000
2014Q4,916106000000,24461387000000,31533986000000,14564520000000,10257470000000
2015Q1,980835000000,24808375000000,32188094000000,14952203000000,10549082000000
2015Q2,987268000000,24936106000000,32446595000000,15082729000000,10630153000000
2015Q3,989172000000,24844010000000,32123500000000,14745035000000,10382305000000
2015Q4,1091183000000,25200870000000,32669221000000,15082580000000,10582441000000
2016Q1,1137216000000,25487346000000,33155450000000,15331843000000,10752165000000
2016Q2,1142829000000,25795517000000,33714508000000,15646345000000,11007797000000
2016Q3,1208567000000,26174234000000,34242818000000,15980413000000,11191813000000
2016Q4,1264278000000,26425981000000,34445030000000,16026427000000,11120217000000
2017Q1,1367620000000,27027588000000,35344871000000,16513375000000,11408468000000
2017Q2,1431766000000,27460937000000,36036750000000,16844607000000,11663238000000
2017Q3,1494369000000,27935496000000,36678286000000,17155725000000,11793133000000
2017Q4,1567926000000,28474662000000,37598777000000,17708576000000,12121846000000
2018Q1,1684572000000,28906624000000,38029095000000,17833824000000,12136010000000
2018Q2,1741868000000,29250417000000,38527202000000,18035730000000,12240977000000
2018Q3,1778674000000,29701484000000,39302415000000,18468033000000,12517060000000
2018Q4,1771146000000,29288555000000,38078991000000,17333141000000,11626093000000
2019Q1,1913689000000,30442596000000,40307338000000,18792253000000,12649988000000
2019Q2,1946131000000,30887527000000,41125033000000,19162932000000,12944382000000
2019Q3,2007389000000,31173129000000,41418877000000,19202587000000,12873736000000
2019Q4,2086380000000,31870882000000,42617699000000,20055053000000,13416177000000
2020Q1,2093493000000,31231798000000,40464510000000,18248282000000,12115608000000
2020Q2,2322482000000,32755471000000,43168395000000,20238115000000,13400881000000
2020Q3,2462227000000,33640823000000,44606891000000,21221231000000,14104469000000
2020Q4,2686518000000,35191387000000,47412676000000,23286411000000,15602044000000
2021Q1,2905986000000,36293770000000,49051013000000,24473084000000,16386390000000
2021Q2,3033453000000,37769131000000,51279738000000,25971593000000,17503306000000
2021Q3,3191086000000,38654213000000,52337633000000,26478035000000,18006254000000
2021Q4,3272913000000,39450947000000,53650545000000,27279970000000,18636071000000
2022Q1,3629061000000,40788208000000,54297626000000,27200363000000,18536598000000
2022Q2,3693290000000,40597799000000,52360285000000,25245660000000,17152653000000
2022Q3,3465458000000,39752441000000,51432675000000,24701285000000,16895448000000
2022Q4,3312041000000,39762499000000,52023687000000,25240065000000,17304315000000
2023Q1,3357428000000,40226341000000,53029835000000,26054016000000,17918414000000
2023Q2,3638332000000,41741148000000,54808044000000,27145640000000,18625162000000
